# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_DELETION	variants_effect_FRAME_SHIFT	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_REGION	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING
E	GU280_gp04	GU280_gp04	protein_coding	1	2	3	0	1	1	2	0	0	0	0	2
M	GU280_gp05	GU280_gp05	protein_coding	12	4	20	4	1	11	16	1	0	1	1	4
N	GU280_gp10	GU280_gp10	protein_coding	7	8	28	2	0	6	26	0	1	1	0	8
ORF10	GU280_gp11	GU280_gp11	protein_coding	1	0	0	0	0	0	0	1	0	0	1	0
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	56	40	218	13	7	44	200	0	0	12	0	40
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	37	26	143	9	6	30	130	0	0	7	0	26
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	8	1	17	5	3	8	9	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	1	2	26	0	0	1	26	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	19	17	54	3	2	15	50	0	0	4	0	17
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	4	4	13	0	0	3	13	0	0	1	0	4
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	0	1	8	0	0	0	8	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	3	1	12	1	1	1	11	0	0	2	0	1
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	0	0	2	0	0	0	2	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	1	0	7	0	0	1	7	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	1	0	1	0	0	1	1	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	0	3	0	0	0	3	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	7	6	16	3	0	5	13	0	0	2	0	6
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	1	3	12	0	0	1	12	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	2	1	22	1	0	2	21	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	6	4	11	0	1	5	10	0	0	1	0	4
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	3	0	14	0	0	1	14	0	0	2	0	0
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	8	1	17	5	3	8	9	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	1	2	26	0	0	1	26	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	19	17	54	3	2	15	50	0	0	4	0	17
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	4	4	13	0	0	3	13	0	0	1	0	4
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	0	1	8	0	0	0	8	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	3	1	12	1	1	1	11	0	0	2	0	1
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	0	0	2	0	0	0	2	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	1	0	7	0	0	1	7	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	1	0	1	0	0	1	1	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	0	3	0	0	0	3	0	0	0	0	0
ORF3a	GU280_gp03	GU280_gp03	protein_coding	4	6	22	0	0	2	22	0	0	2	0	6
ORF6	GU280_gp06	GU280_gp06	protein_coding	2	2	4	1	0	1	3	0	1	1	0	2
ORF7a	GU280_gp07	GU280_gp07	protein_coding	2	0	2	0	0	2	2	0	0	0	0	0
ORF8	GU280_gp09	GU280_gp09	protein_coding	1	1	3	0	0	0	3	0	0	1	0	1
S	GU280_gp02	GU280_gp02	protein_coding	9	7	56	6	5	6	45	0	0	3	0	7
