# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_DELETION	variants_effect_FRAME_SHIFT	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_REGION	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING
E	GU280_gp04	GU280_gp04	protein_coding	0	1	3	0	1	0	2	0	0	0	0	1
M	GU280_gp05	GU280_gp05	protein_coding	9	6	17	1	1	9	15	1	0	0	1	6
N	GU280_gp10	GU280_gp10	protein_coding	4	7	31	1	1	4	29	0	0	0	0	7
ORF10	GU280_gp11	GU280_gp11	protein_coding	2	0	0	0	0	1	0	1	0	0	1	0
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	37	48	210	8	6	27	197	0	0	10	0	48
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	23	31	142	6	5	16	132	0	0	7	0	31
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	3	1	17	2	3	3	12	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	2	4	27	0	0	2	27	0	0	0	0	4
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	11	15	61	2	1	7	58	0	0	4	0	15
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	3	4	8	0	0	2	8	0	0	1	0	4
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	1	1	6	0	0	1	6	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	2	1	9	2	1	0	7	0	0	2	0	1
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	0	1	2	0	0	0	2	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	1	2	7	0	0	1	7	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	2	5	0	0	0	5	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	5	6	16	0	1	3	15	0	0	2	0	6
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	2	4	17	0	0	2	17	0	0	0	0	4
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	3	4	19	2	0	2	17	0	0	1	0	4
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	3	3	9	0	0	3	9	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	1	0	7	0	0	1	7	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	3	1	17	2	3	3	12	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	2	4	27	0	0	2	27	0	0	0	0	4
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	11	15	61	2	1	7	58	0	0	4	0	15
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	3	4	8	0	0	2	8	0	0	1	0	4
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	1	1	6	0	0	1	6	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	2	1	9	2	1	0	7	0	0	2	0	1
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	0	1	2	0	0	0	2	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	1	2	7	0	0	1	7	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	2	5	0	0	0	5	0	0	0	0	2
ORF3a	GU280_gp03	GU280_gp03	protein_coding	2	2	26	0	0	1	26	0	0	1	0	2
ORF6	GU280_gp06	GU280_gp06	protein_coding	3	0	5	0	0	1	5	0	1	2	0	0
ORF7a	GU280_gp07	GU280_gp07	protein_coding	0	1	1	0	0	0	1	0	0	0	0	1
ORF8	GU280_gp09	GU280_gp09	protein_coding	1	1	7	0	0	0	7	0	0	1	0	1
S	GU280_gp02	GU280_gp02	protein_coding	9	6	48	3	3	6	42	0	0	3	0	6
