# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_DELETION	variants_effect_FRAME_SHIFT	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_REGION	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING
E	GU280_gp04	GU280_gp04	protein_coding	2	0	2	0	1	2	1	0	0	0	0	0
M	GU280_gp05	GU280_gp05	protein_coding	15	4	12	3	0	13	10	1	0	2	1	4
N	GU280_gp10	GU280_gp10	protein_coding	12	6	26	0	1	12	25	0	0	0	0	6
ORF10	GU280_gp11	GU280_gp11	protein_coding	3	1	0	0	0	2	0	1	0	0	1	1
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	175	35	155	12	10	166	136	0	0	10	0	35
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	102	19	108	10	8	96	93	0	0	6	0	19
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	11	2	15	2	4	11	9	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	7	3	20	1	0	6	20	0	0	1	0	3
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	43	11	31	2	2	40	28	0	0	3	0	11
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	6	0	10	1	0	6	9	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	8	1	10	0	1	8	9	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	10	2	6	3	1	8	3	0	0	2	0	2
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	5	0	3	0	0	5	3	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	6	0	5	0	0	6	5	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	2	0	2	0	0	2	2	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	3	0	6	1	0	3	5	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	18	7	19	2	1	15	16	0	0	4	0	7
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	14	5	11	0	0	14	11	0	0	0	0	5
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	17	1	6	0	0	17	6	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	14	1	7	0	1	14	6	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	11	2	4	0	0	11	4	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	1	0	0	0	0	1	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	11	2	15	2	4	11	9	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	7	3	20	1	0	6	20	0	0	1	0	3
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	43	11	31	2	2	40	28	0	0	3	0	11
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	6	0	10	1	0	6	9	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	8	1	10	0	1	8	9	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	10	2	6	3	1	8	3	0	0	2	0	2
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	5	0	3	0	0	5	3	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	6	0	5	0	0	6	5	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	2	0	2	0	0	2	2	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	3	0	6	1	0	3	5	0	0	0	0	0
ORF3a	GU280_gp03	GU280_gp03	protein_coding	6	2	17	0	1	5	16	0	0	1	0	2
ORF6	GU280_gp06	GU280_gp06	protein_coding	5	1	2	0	0	4	2	0	1	1	0	1
ORF7a	GU280_gp07	GU280_gp07	protein_coding	1	0	1	0	0	1	1	0	1	0	0	0
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0
ORF8	GU280_gp09	GU280_gp09	protein_coding	2	2	4	0	0	0	4	0	0	2	0	2
S	GU280_gp02	GU280_gp02	protein_coding	33	5	37	3	2	31	32	0	0	2	0	5
