# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_DELETION	variants_effect_FRAME_SHIFT	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_REGION	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING
E	GU280_gp04	GU280_gp04	protein_coding	1	4	4	0	0	1	4	0	0	0	0	4
M	GU280_gp05	GU280_gp05	protein_coding	16	3	10	2	0	16	8	3	0	0	3	3
N	GU280_gp10	GU280_gp10	protein_coding	12	3	27	1	0	11	26	0	0	1	0	3
ORF10	GU280_gp11	GU280_gp11	protein_coding	2	1	0	0	0	2	0	0	0	0	0	1
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	290	55	252	24	17	276	211	0	0	17	0	55
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	178	34	164	16	13	170	135	0	0	10	0	34
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	14	2	16	4	3	14	9	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	18	3	35	2	0	18	33	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	88	16	57	6	6	84	45	0	0	6	0	16
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	21	2	9	1	1	19	7	0	0	2	0	2
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	11	4	6	0	0	11	6	0	0	0	0	4
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	11	1	19	3	1	10	15	0	0	1	0	1
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	1	0	9	0	0	1	9	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	8	5	7	0	2	7	5	1	0	1	0	5
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	1	0	2	0	0	1	2	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	5	1	5	0	1	5	4	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	41	8	27	5	1	39	21	0	0	3	0	8
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	20	3	17	0	0	19	17	0	0	1	0	3
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	22	7	24	1	0	20	23	0	0	2	0	7
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	21	2	15	2	3	21	10	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	8	1	5	0	0	7	5	0	0	1	0	1
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	14	2	16	4	3	14	9	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	18	3	35	2	0	18	33	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	88	16	57	6	6	84	45	0	0	6	0	16
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	21	2	9	1	1	19	7	0	0	2	0	2
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	11	4	6	0	0	11	6	0	0	0	0	4
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	11	1	19	3	1	10	15	0	0	1	0	1
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	1	0	9	0	0	1	9	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	8	5	7	0	2	7	5	1	0	1	0	5
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	1	0	2	0	0	1	2	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	5	1	5	0	1	5	4	0	0	0	0	1
ORF3a	GU280_gp03	GU280_gp03	protein_coding	7	1	12	0	1	6	11	0	0	1	0	1
ORF6	GU280_gp06	GU280_gp06	protein_coding	6	1	5	1	2	2	4	0	3	2	0	1
ORF7a	GU280_gp07	GU280_gp07	protein_coding	3	0	3	0	0	2	3	0	1	1	0	0
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1
ORF8	GU280_gp09	GU280_gp09	protein_coding	4	2	4	0	0	3	4	0	0	1	0	2
S	GU280_gp02	GU280_gp02	protein_coding	48	12	60	8	4	46	48	0	0	2	0	12
