# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_DELETION	variants_effect_FRAME_SHIFT	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_REGION	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING
E	GU280_gp04	GU280_gp04	protein_coding	0	2	3	0	1	0	2	0	0	0	0	2
M	GU280_gp05	GU280_gp05	protein_coding	11	6	17	0	0	11	17	1	0	0	1	6
N	GU280_gp10	GU280_gp10	protein_coding	5	6	34	0	1	5	33	0	0	0	0	6
ORF10	GU280_gp11	GU280_gp11	protein_coding	2	1	0	0	0	1	0	1	0	0	1	1
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	85	51	214	7	6	72	201	0	0	13	0	51
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	46	31	148	4	4	37	140	1	0	9	1	31
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	3	1	15	2	3	3	10	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	8	3	34	0	0	7	34	0	0	1	0	3
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	22	20	61	1	0	17	60	0	0	5	0	20
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	5	2	11	0	0	4	11	0	0	1	0	2
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	3	2	4	0	0	2	4	0	0	1	0	2
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	2	2	10	1	1	1	8	0	0	1	0	2
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	1	1	0	0	0	1	0	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	1	0	9	0	0	1	9	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	0	3	0	0	0	3	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	10	8	15	1	1	9	13	0	0	1	0	8
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	2	3	15	0	0	2	15	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	10	3	17	1	0	8	16	0	0	2	0	3
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	6	4	9	0	0	5	9	0	0	1	0	4
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	12	2	10	1	1	12	8	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	1	0	0	0	0	1	0	1	0	0	0	0
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	3	1	15	2	3	3	10	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	8	3	34	0	0	7	34	0	0	1	0	3
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	22	20	61	1	0	17	60	0	0	5	0	20
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	5	2	11	0	0	4	11	0	0	1	0	2
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	3	2	4	0	0	2	4	0	0	1	0	2
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	2	2	10	1	1	1	8	0	0	1	0	2
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	1	1	0	0	0	1	0	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	1	0	9	0	0	1	9	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	0	3	0	0	0	3	0	0	0	0	0
ORF3a	GU280_gp03	GU280_gp03	protein_coding	4	5	21	0	0	3	21	0	0	1	0	5
ORF6	GU280_gp06	GU280_gp06	protein_coding	3	1	4	0	0	1	4	0	1	2	0	1
ORF7a	GU280_gp07	GU280_gp07	protein_coding	3	0	4	0	0	2	4	0	0	1	0	0
ORF8	GU280_gp09	GU280_gp09	protein_coding	1	0	5	0	0	0	5	0	0	1	0	0
S	GU280_gp02	GU280_gp02	protein_coding	14	10	54	2	3	12	49	0	0	2	0	10
